trip_id,start_station_name,end_station_name,start_time,end_time,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,duration_min,start_hour,day_of_week,speed_kmh
TRIP_00048,Station_40,Station_27,11/5/2023 12:41:20,12/4/2023 12:41:20,35.522056,-98.949449,32.440926,-97.025944,41760,12,1,0.5542614386
TRIP_00001,Station_5,Station_13,12/10/2023 12:41:20,9/29/2024 12:41:20,31.152771,-92.49954,33.53301,-91.135349,423360,12,1,0.04167474525
TRIP_00042,Station_40,Station_21,1/28/2024 12:41:20,8/16/2024 12:41:20,34.116282,-96.501983,32.764459,-98.843769,289440,12,1,0.0547680795
TRIP_00053,Station_42,Station_4,5/12/2024 12:41:20,6/20/2024 12:41:20,37.560671,-91.469629,32.703148,-98.305542,56160,12,1,0.879358907
TRIP_00025,Station_50,Station_49,10/29/2023 12:41:20,11/5/2023 12:41:20,36.51551,-96.0437,33.887999,-97.438718,10080,12,1,1.895622315
TRIP_00059,Station_14,Station_39,3/17/2024 12:41:20,6/3/2024 12:41:20,38.527574,-91.066518,36.421812,-91.490871,112320,12,1,0.1266692004
TRIP_00069,Station_11,Station_45,5/19/2024 12:41:20,7/4/2024 12:41:20,33.353797,-96.239798,38.178464,-93.722468,66240,12,1,0.5276329942
TRIP_00032,Station_16,Station_32,12/3/2023 12:41:20,3/24/2024 12:41:20,32.53014,-98.376313,31.607077,-97.634792,161280,12,1,0.04619212873
TRIP_00029,Station_32,Station_18,4/15/2024 12:41:20,8/25/2024 12:41:20,34.218352,-95.121695,34.520569,-99.643333,190080,12,2,0.1314165218
TRIP_00064,Station_26,Station_41,4/29/2024 12:41:20,7/6/2024 12:41:20,34.515757,-92.52042,39.877385,-95.249702,97920,12,2,0.3941418885
TRIP_00050,Station_3,Station_6,1/22/2024 12:41:20,5/22/2024 12:41:20,39.596044,-96.443327,33.644864,-94.575076,174240,12,2,0.2349771477
TRIP_00040,Station_26,Station_17,6/3/2024 12:41:20,10/6/2024 12:41:20,37.393945,-95.99092,30.569201,-97.98434,180000,12,2,0.2602524656
TRIP_00087,Station_19,Station_48,1/1/2024 12:41:20,10/2/2024 12:41:20,36.894868,-93.704659,34.214012,-92.345526,396000,12,2,0.04885566767
TRIP_00076,Station_27,Station_50,2/5/2024 12:41:20,9/11/2024 12:41:20,33.964228,-96.695251,36.668271,-98.968363,315360,12,2,0.06936517718
TRIP_00054,Station_23,Station_14,4/29/2024 12:41:20,6/24/2024 12:41:20,39.340774,-95.837939,39.316548,-94.374356,80640,12,2,0.09368522601
TRIP_00003,Station_24,Station_47,10/10/2023 12:41:20,11/13/2023 12:41:20,31.547843,-90.43619,33.197188,-97.830474,48960,12,3,0.8799613063
TRIP_00065,Station_49,Station_27,12/26/2023 12:41:20,8/26/2024 12:41:20,36.685502,-96.274542,34.543899,-93.302114,351360,12,3,0.06130418351
TRIP_00045,Station_7,Station_16,5/28/2024 12:41:20,6/24/2024 12:41:20,39.124522,-95.076261,38.94988,-94.153332,38880,12,3,0.1266104751
TRIP_00094,Station_18,Station_36,7/2/2024 12:41:20,9/7/2024 12:41:20,39.570445,-99.903029,30.204655,-93.996362,96480,12,3,0.7287403457
TRIP_00056,Station_28,Station_25,10/10/2023 12:41:20,12/5/2023 12:41:20,32.702023,-94.13982,37.349901,-98.833143,80640,12,3,0.4988210484
TRIP_00026,Station_27,Station_5,12/19/2023 12:41:20,12/28/2023 12:41:20,37.646235,-96.947061,32.182528,-93.337719,12960,12,3,3.198116501
TRIP_00016,Station_13,Station_7,10/10/2023 12:41:20,12/1/2023 12:41:20,30.137677,-97.75384,31.363674,-94.090179,74880,12,3,0.3010261451
TRIP_00084,Station_46,Station_43,1/16/2024 12:41:20,4/19/2024 12:41:20,33.822741,-99.689302,38.87949,-95.245481,135360,12,3,0.3052557563
TRIP_00077,Station_8,Station_14,5/8/2024 12:41:20,7/20/2024 12:41:20,38.626128,-96.827364,36.711409,-97.659346,105120,12,4,0.1285076014
TRIP_00037,Station_22,Station_16,7/17/2024 12:41:20,8/14/2024 12:41:20,34.772934,-93.018621,39.301538,-93.228008,40320,12,4,0.749851434
TRIP_00060,Station_41,Station_34,6/26/2024 12:41:20,8/21/2024 12:41:20,38.009336,-90.711948,35.840971,-98.413048,80640,12,4,0.5398090838
TRIP_00099,Station_14,Station_13,6/12/2024 12:41:20,9/28/2024 12:41:20,31.806263,-91.950305,33.927246,-93.236756,155520,12,4,0.1021129883
TRIP_00072,Station_14,Station_14,12/7/2023 12:41:20,2/18/2024 12:41:20,37.680894,-97.479923,34.39367,-97.171767,105120,12,5,0.2092297837
TRIP_00090,Station_35,Station_42,12/14/2023 12:41:20,6/24/2024 12:41:20,33.531514,-92.835957,31.641062,-98.572609,277920,12,5,0.1245692934
TRIP_00007,Station_9,Station_47,10/26/2023 12:41:20,5/28/2024 12:41:20,30.331579,-96.830049,37.221212,-96.683447,309600,12,5,0.148490643
TRIP_00071,Station_20,Station_3,7/25/2024 12:41:20,8/18/2024 12:41:20,36.156452,-93.667896,39.873453,-91.640326,34560,12,5,0.780950176
TRIP_00024,Station_46,Station_29,1/11/2024 12:41:20,8/30/2024 12:41:20,39.926763,-99.845775,35.360595,-97.138785,334080,12,5,0.1007211241
TRIP_00049,Station_5,Station_40,11/2/2023 12:41:20,5/8/2024 12:41:20,31.468168,-90.391036,32.17617,-91.241082,270720,12,5,0.02492521488
TRIP_00005,Station_47,Station_49,4/25/2024 12:41:20,7/25/2024 12:41:20,34.65233,-91.625739,35.298587,-96.385377,131040,12,5,0.2012507862
TRIP_00073,Station_37,Station_6,4/19/2024 12:41:20,7/26/2024 12:41:20,37.136053,-95.832388,31.317458,-92.763715,141120,12,6,0.300048752
TRIP_00096,Station_40,Station_31,12/8/2023 12:41:20,12/23/2023 12:41:20,38.154149,-95.753146,32.635838,-96.494205,21600,12,6,1.714630069
TRIP_00097,Station_33,Station_12,3/1/2024 12:41:20,9/6/2024 12:41:20,31.105474,-99.690078,37.697754,-97.117234,272160,12,6,0.1697528977
TRIP_00079,Station_45,Station_28,3/22/2024 12:41:20,9/13/2024 12:41:20,37.1111,-99.995367,37.825076,-98.715368,252000,12,6,0.03287392529
TRIP_00095,Station_16,Station_6,2/2/2024 12:41:20,7/19/2024 12:41:20,33.898816,-93.674572,32.31359,-91.327911,241920,12,6,0.0696379036
TRIP_00088,Station_19,Station_34,1/12/2024 12:41:20,7/24/2024 12:41:20,32.469383,-93.171276,31.428573,-93.811444,279360,12,6,0.02803808092
TRIP_00041,Station_6,Station_12,3/23/2024 12:41:20,6/18/2024 12:41:20,34.312497,-93.247927,36.662545,-92.320202,125280,12,7,0.1314543509
TRIP_00081,Station_28,Station_46,10/14/2023 12:41:20,3/28/2024 12:41:20,31.739087,-99.441838,37.359041,-90.115765,239040,12,7,0.2654130391
TRIP_00044,Station_43,Station_40,6/15/2024 12:41:20,8/22/2024 12:41:20,30.01551,-90.356689,39.271839,-96.419513,97920,12,7,0.7159582374
TRIP_00027,Station_11,Station_6,3/9/2024 12:41:20,3/21/2024 12:41:20,30.445776,-95.428071,36.313574,-93.024486,17280,12,7,2.394128432
TRIP_00018,Station_37,Station_35,12/2/2023 12:41:20,7/20/2024 12:41:20,37.239394,-99.063246,33.635798,-97.10175,332640,12,7,0.07905968918
TRIP_00068,Station_5,Station_21,3/16/2024 12:41:20,9/14/2024 12:41:20,38.950073,-96.373201,39.625906,-97.773925,262080,12,7,0.03252096343
