trip_id,start_station_name,end_station_name,start_time,end_time,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,duration_min,start_hour,day_of_week
TRIP_00032,Station_16,Station_32,12/3/2023 12:41:20,3/24/2024 12:41:20,32.53014,-98.376313,31.607077,-97.634792,161280,12,1
TRIP_00069,Station_11,Station_45,5/19/2024 12:41:20,7/4/2024 12:41:20,33.353797,-96.239798,38.178464,-93.722468,66240,12,1
TRIP_00053,Station_42,Station_4,5/12/2024 12:41:20,6/20/2024 12:41:20,37.560671,-91.469629,32.703148,-98.305542,56160,12,1
TRIP_00019,Station_13,Station_18,6/9/2024 12:41:20,3/17/2024 12:41:20,35.384369,-95.347311,37.209942,-99.659635,-120960,12,1
TRIP_00013,Station_43,Station_45,6/30/2024 12:41:20,11/20/2023 12:41:20,37.872413,-98.56396,37.262031,-97.683685,-321120,12,1
TRIP_00001,Station_5,Station_13,12/10/2023 12:41:20,9/29/2024 12:41:20,31.152771,-92.49954,33.53301,-91.135349,423360,12,1
TRIP_00048,Station_40,Station_27,11/5/2023 12:41:20,12/4/2023 12:41:20,35.522056,-98.949449,32.440926,-97.025944,41760,12,1
TRIP_00059,Station_14,Station_39,3/17/2024 12:41:20,6/3/2024 12:41:20,38.527574,-91.066518,36.421812,-91.490871,112320,12,1
TRIP_00017,Station_9,Station_10,5/26/2024 12:41:20,2/11/2024 12:41:20,33.054296,-90.806538,32.756676,-94.683881,-151200,12,1
TRIP_00025,Station_50,Station_49,10/29/2023 12:41:20,11/5/2023 12:41:20,36.51551,-96.0437,33.887999,-97.438718,10080,12,1
TRIP_00042,Station_40,Station_21,1/28/2024 12:41:20,8/16/2024 12:41:20,34.116282,-96.501983,32.764459,-98.843769,289440,12,1
TRIP_00046,Station_47,Station_25,5/19/2024 12:41:20,11/11/2023 12:41:20,38.247917,-99.213886,36.775659,-94.007134,-273600,12,1
TRIP_00047,Station_19,Station_27,8/11/2024 12:41:20,7/31/2024 12:41:20,31.295893,-97.353679,38.776749,-98.133024,-15840,12,1
TRIP_00022,Station_16,Station_24,4/14/2024 12:41:20,4/6/2024 12:41:20,34.235674,-95.87546,33.668116,-97.99509,-11520,12,1
